"源文本","翻译文本"
"字体设置","字体设置"
"字体大小","字体大小"
"小","小"
"中","中"
"大","大"
"加载字段失败","加载字段失败"
"网络错误","网络错误"
"加载记录失败","加载记录失败"
"保存中...","保存中..."
"请输入%{1}","请输入%{1}"
"请检查表单中的错误","请检查表单中的错误"
"操作","操作"
"请选择图片文件","请选择图片文件"
"预览图片","预览图片"
"编辑","编辑"
"正在生成文件...","正在生成文件..."
"导出完成！","导出完成！"
"导出失败","导出失败"
"关闭","关闭"
"请输入过滤器名称","请输入过滤器名称"
"没有可导出的数据","没有可导出的数据"
"正在准备导出数据...","正在准备导出数据..."
"导出失败：%{1}","导出失败：%{1}"
"不支持的导出格式","不支持的导出格式"
"获取字段失败","获取字段失败"
"加载数据失败","加载数据失败"
"加载数据失败: %{1}","加载数据失败: %{1}"
"过滤器保存成功","过滤器保存成功"
"配置保存成功","配置保存成功"
"保存配置失败","保存配置失败"
"请先保存当前编辑的行","请先保存当前编辑的行"
"警告: %{1}","警告: %{1}"
"配置已重置","配置已重置"
"重置失败","重置失败"
"重置配置失败，请稍后重试","重置配置失败，请稍后重试"
"网络错误：%{1}","网络错误：%{1}"
"确定要重置为默认字段配置吗？这将显示所有可用字段？","确定要重置为默认字段配置吗？这将显示所有可用字段？"
"保存失败: %{1}","保存失败: %{1}"
"确定要重置表头字段配置吗？这将清除所有自定义的显示字段设置","确定要重置表头字段配置吗？这将清除所有自定义的显示字段设置"
"确定要重置筛选字段配置吗？这将清除所有自定义的筛选字段设置","确定要重置筛选字段配置吗？这将清除所有自定义的筛选字段设置"
"确定要重置全部配置吗？这将清除所有自定义的表头字段和筛选字段设置","确定要重置全部配置吗？这将清除所有自定义的表头字段和筛选字段设置"
"正在导出数据","正在导出数据"
"导出格式","导出格式"
"预计导出","预计导出"
"共","共"
"页","页"
"当前页","当前页"
"已导出","已导出"
"进度","进度"
"正在初始化导出...","正在初始化导出..."
"已用时间","已用时间"
"预计剩余","预计剩余"
"计算中...","计算中..."
"导出过程中请勿关闭此窗口，以免导致数据丢失","导出过程中请勿关闭此窗口，以免导致数据丢失"
"取消导出","取消导出"
"成功导出 %{1} 条记录","成功导出 %{1} 条记录"
